id,code,path,name,uri_root,model_name,key_name_bid,key_name_page,uri_is_fixed,uri_link,uri_title,uri_date,uri_author,uri_reference,uri_inside_date,notice_drop_num
93,eee,/notice/eee,전기전자공학과,https://eee.kangwon.ac.kr/eee/community/notice.do?articleLimit=20&article.offset=%d,Eee,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
94,ee,/notice/ee,전자공학과,https://ee.kangwon.ac.kr/ee/community/notice01.do?mode=list&article.offset=%d&articleLimit=20,Ee,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
95,multimajor,/notice/multimajor,미래융합가상학과,http://multimajor.kangwon.ac.kr/bbs/board.php?bo_table=notice,Multimajor,wr_id,page,"//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[1]//text()","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[2]/a//text()","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[5]//text()","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[4]/span//text()",null,null,0
96,liberal,/notice/liberal,춘천자유전공학과,https://liberal.kangwon.ac.kr/liberal/community/notice.do?articleLimit=20&article.offset=%d,Liberal,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
97,knudorm,/notice/knudorm,학생생활관(기숙사),http://knudorm.kangwon.ac.kr/bbs/community/4,Knudorm,articleId,null,"//*[@id=""listUI""]/table/tbody/tr/td[1]/span","//*[@id=""listUI""]/table/tbody/tr/td[2]/p/a","//*[@id=""listUI""]/table/tbody/tr/td[2]/p/a//text()","//*[@id=""listUI""]/table/tbody/tr/td[5]//text()","//*[@id=""listUI""]/table/tbody/tr/td[3]//text()",null,null,0
98,linc,/notice/linc,Linc사업단,http://linc.kangwon.ac.kr/index.php?&mp=4_1,Linc,BID,cpage,"//*[@id=""bbsWrap""]/table/tbody/tr/td[1]/img","//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a//text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[3]//text()",null,null,null,0
99,swuniv,/notice/swuniv,SW중심대학사업단,http://swuniv.kangwon.ac.kr/index.php?&mp=5_1,Swuniv,BID,cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]/img","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]/text()",null,null,0
100,klac,/notice/klac,실험동물센터,http://klac.kangwon.ac.kr/bbs/board.php?bo_table=sub6_1,Klac,wr_id,page,"//*[@id=""fboardlist""]/table/tbody/tr/td[1]/strong","//*[@id=""fboardlist""]/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/table/tbody/tr/td[2]/a//text()","//*[@id=""fboardlist""]/table/tbody/tr/td[4]//text()","//*[@id=""fboardlist""]/table/tbody/tr/td[3]/span//text()",null,null,0
101,gifted,/notice/gifted,과학영재교육원,https://gifted.kangwon.ac.kr/board/notice,Gifted,restful,page,"//*[@id=""oZoom""]/table/tbody/tr/td[1]//text()","//*[@id=""oZoom""]/table/tbody/tr/td[2]/a","//*[@id=""oZoom""]/table/tbody/tr/td[2]/a//text()","//*[@id=""oZoom""]/table/tbody/tr/td[4]//text()","//*[@id=""oZoom""]/table/tbody/tr/td[3]//text()",null,null,0
102,kwclab,/notice/kwclab,공동실험실습관,http://www.kwclab.co.kr/board_list.asp?boardCode=notice,Kwclab,boardNumber,page,"//*[@id=""s_side_rt""]/table/tbody/tr/td[1]/img","//*[@id=""s_side_rt""]/table/tbody/tr/td[2]/a","//*[@id=""s_side_rt""]/table/tbody/tr/td[2]/a/span//text()","//*[@id=""s_side_rt""]/table/tbody/tr/td[5]//text()","//*[@id=""s_side_rt""]/table/tbody/tr/td[4]/a/span//text()",null,null,0
103,kile,/notice/kile,교양교육원,https://kile.kangwon.ac.kr/kile/bbs_list.php?code=sub07a&keyvalue=sub07,Kile,bbs_data,null,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/img,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a//text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[4]//text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[3]//text(),null,null,0
104,nongsa,/notice/nongsa,농촌사회교육원,http://www.nongsa.or.kr/bbs/board.php?bo_table=sub06_1,Nongsa,wr_id,page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a//text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]//text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span//text()",null,null,0
105,expfor,/notice/expfor,학술림,https://expfor.kangwon.ac.kr/bbs/board.php?bo_table=sub5_1,Expfor,wr_id,page,"//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[1]/img","//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a","//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a//text()","//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[4]//text()","//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[3]/span//text()",null,null,0
106,kwbc,/notice/kwbc,백령아트센터,https://kwbc.kangwon.ac.kr/kwbc/bbs_list.php?code=sub07a&keyvalue=sub07,Kwbc,bbs_data,null,/html/body/div[5]/div/div/div[3]/div[1]/table/tbody/tr/td[1]/img,/html/body/div[5]/div/div/div[3]/div[1]/table/tbody/tr/td[2]/a,/html/body/div[5]/div/div/div[3]/div[1]/table/tbody/tr/td[2]/a//text(),/html/body/div[5]/div/div/div[3]/div[1]/table/tbody/tr/td[4]//text(),/html/body/div[5]/div/div/div[3]/div[1]/table/tbody/tr/td[3]//text(),null,null,0
107,museum,/notice/museum,중앙박물관,http://museum.kangwon.ac.kr/bbs/board.php?bo_table=km_notice,Museum,wr_id,page,/html/body/table[1]/tbody/tr/td[1]/table[3]/tbody/tr[2]/td/table/tbody/tr[2]/td/table/tbody/tr[2]/td[2]/table/tbody/tr[3]/td/table/tbody/tr/td/form/table/tbody/tr/td[1]/img,/html/body/table[1]/tbody/tr/td[1]/table[3]/tbody/tr[2]/td/table/tbody/tr[2]/td/table/tbody/tr[2]/td[2]/table/tbody/tr[3]/td/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a,/html/body/table[1]/tbody/tr/td[1]/table[3]/tbody/tr[2]/td/table/tbody/tr[2]/td/table/tbody/tr[2]/td[2]/table/tbody/tr[3]/td/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a//text(),/html/body/table[1]/tbody/tr/td[1]/table[3]/tbody/tr[2]/td/table/tbody/tr[2]/td/table/tbody/tr[2]/td[2]/table/tbody/tr[3]/td/table/tbody/tr/td/form/table/tbody/tr/td[4]/span//text(),/html/body/table[1]/tbody/tr/td[1]/table[3]/tbody/tr[2]/td/table/tbody/tr[2]/td/table/tbody/tr[2]/td[2]/table/tbody/tr[3]/td/table/tbody/tr/td/form/table/tbody/tr/td[3]//text(),null,/html/body/table[1]/tbody/tr/td[1]/table[3]/tbody/tr[2]/td/table/tbody/tr[2]/td/table/tbody/tr[2]/td[2]/table/tbody/tr[3]/td/table/tbody/tr/td/div[1]/div[1]/span//text(),0
108,sports,/notice/sports,체육진흥원,http://sports.kangwon.ac.kr/bbs/board.php?bo_table=sub5_1,Sports,wr_id,page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a//text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]//text()",null,null,null,0
109,khr,/notice/khr,인권센터,http://khr.kangwon.ac.kr/index.php?&mp=5_1,Khr,BID,cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]//text()",null,null,0
